participant,style,attackA,releaseA,attackB,releaseB,pref
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,EDM,F,S,S,F,0
AvChfKd0lXAHWApDasbDgngf45ITy059,EDM,F,S,S,F,0
8kKbpaRYt514b88m8wEO3113wN7vXpO6,EDM,F,F,S,S,1
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,EDM,F,S,S,F,0
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,EDM,F,F,S,S,0
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,EDM,F,F,F,S,1
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,EDM,F,S,S,F,1
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,EDM,F,F,F,S,1
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,EDM,F,F,S,F,0
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,EDM,F,S,S,S,1
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,EDM,F,F,S,F,0
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,EDM,F,F,F,S,1
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,EDM,F,F,S,F,0
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,EDM,F,S,S,F,0
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,EDM,F,F,F,S,0
LeHETAMllNY3n0GQzlEttPZezkbgskFe,EDM,F,F,S,F,0
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,EDM,F,S,S,S,1
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,EDM,F,F,S,S,0
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,EDM,F,F,S,F,0
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,EDM,F,S,S,S,1
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,EDM,S,F,S,S,0
AvChfKd0lXAHWApDasbDgngf45ITy059,EDM,F,F,S,S,0
8kKbpaRYt514b88m8wEO3113wN7vXpO6,EDM,F,F,F,S,1
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,EDM,F,F,F,S,0
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,EDM,F,S,S,F,0
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,EDM,F,S,S,S,0
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,EDM,F,F,S,F,0
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,EDM,F,F,S,F,0
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,EDM,F,F,S,S,1
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,EDM,S,F,S,S,1
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,EDM,S,F,S,S,0
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,EDM,F,F,S,F,1
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,EDM,S,F,S,S,1
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,EDM,F,F,F,S,0
