participant,style,attack,release,descriptor,trackName
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,HipHop,S,F,Soft,HipHop-SF-Descriptor
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,Rock,F,S,Soft,Rock-FS-Descriptor
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,HipHop,S,F,Punchy,HipHop-SF-Descriptor
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,EDM,S,S,Pillowy,EDM-SS-Descriptor
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,EDM,F,S,Punchy,EDM-FS-Descriptor
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,HipHop,F,S,Soft,HipHop-FS-Descriptor
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Rock,S,S,Pillowy,Rock-SS-Descriptor
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,Jazz,S,F,Staccato,Jazz-SF-Descriptor
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,EDM,S,S,Staccato,EDM-SS-Descriptor
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Jazz,F,F,Hard,Jazz-FF-Descriptor
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,HipHop,S,S,Hard,HipHop-SS-Descriptor
8kKbpaRYt514b88m8wEO3113wN7vXpO6,EDM,F,S,Pillowy,EDM-FS-Descriptor
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,HipHop,F,F,Punchy,HipHop-FF-Descriptor
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,HipHop,F,S,Hard,HipHop-FS-Descriptor
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,Jazz,F,S,Smooth,Jazz-FS-Descriptor
LeHETAMllNY3n0GQzlEttPZezkbgskFe,HipHop,S,F,Soft,HipHop-SF-Descriptor
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,HipHop,S,F,Hard,HipHop-SF-Descriptor
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,HipHop,F,S,Punchy,HipHop-FS-Descriptor
AvChfKd0lXAHWApDasbDgngf45ITy059,HipHop,F,S,Hard,HipHop-FS-Descriptor
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,HipHop,F,F,Punchy,HipHop-FF-Descriptor
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,EDM,F,S,Punchy,EDM-FS-Descriptor
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,EDM,F,F,Smooth,EDM-FF-Descriptor
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,HipHop,F,S,Punchy,HipHop-FS-Descriptor
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,Jazz,S,S,Hard,Jazz-SS-Descriptor
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,HipHop,F,F,Smooth,HipHop-FF-Descriptor
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,Jazz,F,S,Soft,Jazz-FS-Descriptor
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Rock,F,S,Punchy,Rock-FS-Descriptor
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,EDM,S,S,Smooth,EDM-SS-Descriptor
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,EDM,F,F,Staccato,EDM-FF-Descriptor
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Rock,F,S,Staccato,Rock-FS-Descriptor
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,Rock,F,S,Pillowy,Rock-FS-Descriptor
8kKbpaRYt514b88m8wEO3113wN7vXpO6,Jazz,S,S,Pillowy,Jazz-SS-Descriptor
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,EDM,F,S,Punchy,EDM-FS-Descriptor
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Jazz,F,S,Staccato,Jazz-FS-Descriptor
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,EDM,S,F,Hard,EDM-SF-Descriptor
LeHETAMllNY3n0GQzlEttPZezkbgskFe,Jazz,S,F,Staccato,Jazz-SF-Descriptor
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,Rock,S,S,Punchy,Rock-SS-Descriptor
